post_title,ID,post_excerpt,sku,stock,regular_price,sale_price,width,stock_status,images,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:op_product_notes,tax:styler_product_brands,attribute:pa_color,attribute_data:pa_color,attribute:pa_pattern,attribute_data:pa_pattern,attribute:pa_sizes,attribute_data:pa_sizes
"Sữa Rửa Mặt Bio-essence Dưỡng Sáng Da 100g Bio-White Pro Whitening Cleanser",6544,,3921028,,157000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Pro-White-100g.jpg ! alt :  ! title : Sửa Rửa Mặt Pro White 100g...... ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Pro-White-shopee.jpg ! alt :  ! title : Sửa Rửa Mặt Pro White - shopee ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Pro-White-100g-2.jpg ! alt :  ! title : Sửa Rửa Mặt Pro White 100g 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Pro-White-100g-1.jpg ! alt :  ! title : Sửa Rửa Mặt Pro White 100g... ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Sua-Rua-Mat-Pro-White-100g-3.jpg ! alt :  ! title : Sửa Rửa Mặt Pro White 100g ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Tinh Chất Bio-essence Sữa Ong Chúa Dưỡng Da Tươi Trẻ 40ml Bio-Renew Royal Jelly Radiant Youth Facial Oil",6545,,3937011,,449000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Renew-1.png ! alt :  ! title : Tinh Chất Renew ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Renew.png ! alt :  ! title : Tinh Chất Renew ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-RN-1.jpg ! alt :  ! title : tinh chat RN 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-RN-4.jpeg ! alt :  ! title : tinh chat RN 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-1.png ! alt :  ! title : tinh chất 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-2.png ! alt :  ! title : tinh chat 2 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Serum Bio-essence Dưỡng Da Tươi Sáng Căng Mọng 30g Bio Bird'S Nest Collagen 1000 Essence",6546,,3937012,,429000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Birds-Nest-2.jpg ! alt :  ! title : Tinh Chất Bird's Nest 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Birda-Nest-3.jpg ! alt :  ! title : Tinh Chất Bird'a Nest 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Birds-4.jpg ! alt :  ! title : Tinh Chất Bird's 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Birds-Nest-1.jpg ! alt :  ! title : Tinh Chất Bird's Nest 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Birds-Nest-3.jpg ! alt :  ! title : Tinh Chất Bird's Nest 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Birds-Nest.jpg ! alt :  ! title : Tinh Chất Bird's Nest ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Serum Bio-essence Dưỡng Ẩm, Phục Hồi Da 30ml Bio Water Vitamin B5 Gel",6547,,3937013,,594000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-chat-Water-B5.jpg ! alt :  ! title : Tinh chất Water B5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-b5-1.webp ! alt :  ! title : tinh chất b5 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-b5-2.jpg ! alt :  ! title : tinh chất b5 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-b5-3.jpg ! alt :  ! title : tinh chất b5 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-b5-4.jpg ! alt :  ! title : tinh chất b5 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-water-1.webp ! alt :  ! title : tinh chat water 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-water-2.jpg ! alt :  ! title : tinh chat water 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-water-3.webp ! alt :  ! title : tinh chat water 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-water-4.jpg ! alt :  ! title : tinh chat water 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-water-5.jpg ! alt :  ! title : tinh chat water 5 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Serum Bio-essence 2 Trong 1 Ngăn Ngừa Lão Hóa 36g Golden Ratio Double Serum",6548,,3937016,,539000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-bio-essence-2-trong-1-ngan-ngua-lao-hoa-36g-3.jpg ! alt :  ! title : tinh-chat-bio-essence-2-trong-1-ngan-ngua-lao-hoa-36g-3 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Serum Bio-essence Dưỡng Sáng Da Chuyên Sâu 30ml Bio-White Pro Whitening Super Serum",6549,,3937017,,552000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White-8.jpg ! alt :  ! title : Tinh Chất Pro White ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White-4.jpg ! alt :  ! title : Tinh Chất Pro White... ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White.jpg ! alt :  ! title : Tinh Chất Pro White....... ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White-7.jpg ! alt :  ! title : Tinh Chất Pro White 7 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White-6.jpg ! alt :  ! title : Tinh Chất Pro White 6 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White-5.jpg ! alt :  ! title : Tinh Chất Pro White 5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White-1.jpg ! alt :  ! title : Tinh Chất Pro White 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tinh-chat-Pro-White-4.png ! alt :  ! title : tinh chất Pro White 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-chat-Pro-White-3.jpg ! alt :  ! title : Tinh chất Pro White 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tinh-Chat-Pro-White-2.jpg ! alt :  ! title : Tinh Chất Pro White 2 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Nước Dưỡng Bio-essence Vàng 24K Ngừa Lão Hoá Da 150ml Bio-Essence Gold Water",6550,,3938007,,423000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/NUOC-DUONG-GOLD-150ML.jpg ! alt :  ! title : NƯỚC DƯỠNG GOLD 150ML ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/NUOC-DUONG-GOLD-150ML-1.jpg ! alt :  ! title : NƯỚC DƯỠNG GOLD 150ML 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/NUOC-DUONG-GOLD-150ML-2.jpg ! alt :  ! title : NƯỚC DƯỠNG GOLD 150ML 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/NUOC-DUONG-GOLD-150ML-3.jpeg ! alt :  ! title : NƯỚC DƯỠNG GOLD 150ML 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/NUOC-DUONG-GOLD-150ML-4.jpeg ! alt :  ! title : NƯỚC DƯỠNG GOLD 150ML 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Review-Dong-Gold-1.jpg ! alt :  ! title : Review Dòng Gold 1 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Toner Bio-essence Dưỡng Da Tươi Trẻ 100ml Bio-Renew Nourishing Toner",6551,,3938010,,292000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/toner-4.png ! alt :  ! title : toner 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/NUOC-CAN-BANG-RENEW.jpg ! alt :  ! title : NƯỚC CÂN BẰNG RENEW. ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/toner-1.png ! alt :  ! title : toner 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/toner-2.png ! alt :  ! title : toner 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/toner-3.png ! alt :  ! title : toner 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/toner-6.jpg ! alt :  ! title : toner 6 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/toner-8.jpg ! alt :  ! title : toner 8 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Nước Xịt Khoáng Bio-essence Dưỡng Da Ẩm Mượt Mịn Màng 300ml Bio-Water Energizing Water",6552,,3938011,,320500,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-300ml.jpg ! alt :  ! title : xịt khoáng 300ml ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-4.jpg ! alt :  ! title : xit khoang 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-3.webp ! alt :  ! title : xit khoang 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-2.webp ! alt :  ! title : xit khoang 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Xit-khoang-1.jpg ! alt :  ! title : Xit khoang 1 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Nước Xịt Khoáng Bio-essence Dưỡng Da Ẩm Mượt Mịn Màng 100ml Bio-Water Energizing Water",6553,,3938012,,150500,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-100ml-1.jpg ! alt :  ! title : xit khoang 100ml 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-4-1.jpg ! alt :  ! title : xit khoang 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-3-1.webp ! alt :  ! title : xit khoang 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/xit-khoang-2-1.webp ! alt :  ! title : xit khoang 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Xit-khoang-1-1.jpg ! alt :  ! title : Xit khoang 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Xit-Khoang-100ml.png ! alt :  ! title : Xịt Khoáng 100ml ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Nước Tẩy Trang Bio-essence Không Cồn Sạch Sâu Da 100ml Bio-Essence Water Micellar Water",6554,,3938014,,87500,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tay-Trang-400ml.jpg ! alt :  ! title : Tẩy Trang 400ml ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-1-1.jpg ! alt :  ! title : Tay trang 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-2-1.jpeg ! alt :  ! title : Tay trang 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tay-trang-3-1.jpg ! alt :  ! title : tay trang 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-4-1.jpg ! alt :  ! title : Tay trang 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-5.webp ! alt :  ! title : Tay trang 5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-6.jpg ! alt :  ! title : Tay trang 6 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Nước Tẩy Trang Bio-essence Không Cồn Sạch Sâu Da 400ml Bio-Essence Water Micellar Water",6555,,3938015,,280000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-4.jpg ! alt :  ! title : Tay trang 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Chong-Nang-Water-B5-1.jpg ! alt :  ! title : Chống Nắng Water B5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-1.jpg ! alt :  ! title : Tay trang 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Tay-trang-2.jpeg ! alt :  ! title : Tay trang 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/tay-trang-3.jpg ! alt :  ! title : tay trang 3 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Toner Bio-essence Dưỡng Tươi Sáng Căng Mọng 100ml Bio Bird’s Nest Collagen Skin Enhancer",6556,,3938017,,396000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-Can-Bang-Birds-Nest-5.jpg ! alt :  ! title : Nước Cân Bằng Bird's Nest 5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-Can-Bang-Birds-Nest-1.png ! alt :  ! title : Nước Cân Bằng Bird's Nest 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-Can-Bang-Birds-Nest-2.jpg ! alt :  ! title : Nước Cân Bằng Bird's Nest 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-Can-Bang-Birds-Nest-3.jpg ! alt :  ! title : Nước Cân Bằng Bird's Nest 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-Can-Bang-Birds-Nest-4.jpg ! alt :  ! title : Nước Cân Bằng Bird's Nest 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Nuoc-Can-Bang-Birds-Nest.jpg ! alt :  ! title : Nước Cân Bằng Bird's Nest ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Vàng 24K Ngừa Lão Hóa Ban Ngày 40g Bio-Gold Day Cream SPF25",6557,,3939015,,490000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Ngay.jpg ! alt :  ! title : Kem Gold Ngày ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Ngay-Dem.png ! alt :  ! title : Kem Gold Ngày - Đêm ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Ngay-1.jpg ! alt :  ! title : Kem Gold Ngày 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Ngay-2.jpg ! alt :  ! title : Kem Gold Ngày 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Ngay-3.jpg ! alt :  ! title : Kem Gold Ngày 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Ngay-4.jpeg ! alt :  ! title : Kem Gold Ngày 4 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Vàng 24K Ngừa Lão Hóa Ban Đêm 40g Bio-Essence Gold Night Cream",6558,,3939016,,490000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Dem.jpg ! alt :  ! title : Kem Gold Đêm ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Cong-Nghe-Gold.jpg ! alt :  ! title : Công Nghệ Gold ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Dem-1.jpg ! alt :  ! title : Kem Gold Đêm 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Dem-2.jpg ! alt :  ! title : Kem Gold Đêm 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Dem-3.jpg ! alt :  ! title : Kem Gold Đêm 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Dem-4.jpg ! alt :  ! title : Kem Gold Đêm 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Gold-Ngay-Dem-1.png ! alt :  ! title : Kem Gold Ngày - Đêm ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Hỗ Trợ Nâng Cơ, Săn Chắc Da 45g Bio-Vlift Face Lifting Cream",6559,,3939021,,494000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-V2.jpg ! alt :  ! title : Kem V2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/kem-V-1.png ! alt :  ! title : kem V 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-V-3.jpg ! alt :  ! title : Kem V 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-V.jpg ! alt :  ! title : Kem V.. ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-V4.jpg ! alt :  ! title : Kem V4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-V5.jpg ! alt :  ! title : Kem V5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-V6.jpg ! alt :  ! title : Kem V6 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Dưỡng Da Tươi Sáng Căng Mọng 50g Bio Bird’S Nest Collagen Essence Cream",6560,,3939022,,404000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Duong-Birds-Nest.jpg ! alt :  ! title : Kem Dưỡng Bird's Nest ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Birds-Nest.jpg ! alt :  ! title : Bird's Nest ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Duong-Na-Ngu-2.jpg ! alt :  ! title : Kem Dưỡng - Nạ Ngủ 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Duong-Birds-Nest-1.jpg ! alt :  ! title : Kem Dưỡng Bird's Nest 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Duong-Birds-Nest-2.jpg ! alt :  ! title : Kem Dưỡng Bird's Nest 2 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Cấp Ẩm Sâu, Ngăn Bụi Bẩn 50g Bio Water Moist-In Water Gel",6561,,3939023,,414000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Duong-Water-B5.jpg ! alt :  ! title : Kem Dưỡng Water B5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/kem-duong-B5-1.webp ! alt :  ! title : kem dưỡng B5 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-duong-B5-2.webp ! alt :  ! title : Kem dưỡng B5 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-duong-b5-3.jpg ! alt :  ! title : Kem dưỡng b5 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-duong-B5-4.jpg ! alt :  ! title : Kem dưỡng B5 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-duong-B5-5.jpg ! alt :  ! title : Kem dưỡng B5 5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-duong-B5-6.jpg ! alt :  ! title : Kem dưỡng B5 6 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-duong-B5-7.webp ! alt :  ! title : Kem dưỡng B5 7 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Làm Sáng Da Ban Ngày 50g Bio-White Pro Whitening Day Cream SPF20 PA++",6562,,3939024,,431000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Ngay-Pro-White-3.jpg ! alt :  ! title : Kem Ngày Pro White 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/kem-Ngay-Dem-Pro-White-2.jpg ! alt :  ! title : kem Ngày - Đêm Pro White 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Ngay-Pro-White-1.jpg ! alt :  ! title : Kem Ngày Pro White 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Ngay-Pro-White-2.jpg ! alt :  ! title : Kem Ngày Pro White 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Ngay-Pro-White.jpg ! alt :  ! title : Kem Ngày Pro White ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Làm Sáng Da Ban Đêm 50g Bio-White Pro Whitening Night Cream",6563,,3939025,,431000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Dem-Pro-White.jpg ! alt :  ! title : Kem Đêm Pro White ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Dem-Pro-White-2.jpg ! alt :  ! title : Kem Đêm Pro White 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Kem-Dem-Pro-White-3.jpg ! alt :  ! title : Kem Đêm Pro White 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/kem-Ngay-Dem-Pro-White-2-1.jpg ! alt :  ! title : kem Ngày - Đêm Pro White 2 ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Dưỡng Bio-essence Làm Giảm Đốm Nâu & Sáng Da 25g Bio-White Pro Whitening Spot Corrector",6564,,3939026,,225000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Spot-Pro-White-2.jpg ! alt :  ! title : Spot Pro White 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Spot-Pro-White-3.jpg ! alt :  ! title : Spot Pro White 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Spot-Pro-White-4.jpg ! alt :  ! title : Spot Pro White 4 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Spot-Pro-White-5.jpg ! alt :  ! title : Spot Pro White 5 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Spot-Pro-White.jpg ! alt :  ! title : Spot Pro White ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Kem Chống Nắng Bio-essence Dưỡng Sáng Da SPF50+ PA+++ 40g Bio-White Pro Whitening Sunscreen",6565,,3939027,,224000,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Chong-Nang-Pro-White-3.jpg ! alt :  ! title : Chống Nắng Pro White 3 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Chong-Nang-Pro-White-1.jpg ! alt :  ! title : Chống Nắng Pro White 1 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Chong-Nang-Pro-White-2.jpg ! alt :  ! title : Chống Nắng Pro White 2 ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/Chong-Nang-Pro-White.jpg ! alt :  ! title : Chống Nắng Pro White ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Mặt Nạ Bio-essence Chiết Xuất Tảo Biển 20ml Bio Skin Water-Full Mask",6566,,3940005,,26500,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Mat-Na-Duong-Am.jpg ! alt :  ! title : Mặt nạ dưỡng ẩm Bio Essence ! desc :  ! caption : Mặt nạ dưỡng ẩm Bio Essence | https://minhkhue.vn/wp-content/uploads/2023/07/images-1.jpg ! alt :  ! title : images (1) ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/images-2.jpg ! alt :  ! title : images (2) ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/images-3.jpg ! alt :  ! title : images (3) ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Mặt Nạ Bio-essence Chiết Xuất Trái Thanh Yên 20ml Bio Skin Brighten-Up Mask",6567,,3940006,,26500,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/download-9.jpg ! alt :  ! title : download (9) ! desc :  ! caption :  | https://minhkhue.vn/wp-content/uploads/2023/07/download-8.jpg ! alt :  ! title : download (8) ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
"Mặt Nạ Bio-essence Mẫu Đơn Hoàng Cung 20ml Bio Treasure Skin Soothing Mask",6568,,3940007,,26500,,,instock,"https://minhkhue.vn/wp-content/uploads/2023/07/Mat-Na-Tre-Hoa.jpg ! alt :  ! title : Mặt nạ dưỡng trẻ hóa Bio Essence ! desc :  ! caption : Mặt nạ dưỡng trẻ hóa Bio Essence | https://minhkhue.vn/wp-content/uploads/2023/07/images.jpg ! alt :  ! title : images ! desc :  ! caption : ",simple,,"Chăm sóc cá nhân",,,,,,,,,,
